month,state,sessions
2025-06,Hawaii,46
2025-06,Idaho,11
2025-06,Illinois,271
2025-06,Indiana,64
2025-06,Iowa,6517
2025-06,Kansas,19
2025-06,Kentucky,40
2025-06,Louisiana,64
2025-06,Maine,21
2025-06,Maryland,108
2025-06,Massachusetts,146
2025-06,Michigan,71
2025-06,Minnesota,78
2025-06,Mississippi,27
2025-06,Missouri,81
2025-06,Montana,6
2025-06,Nebraska,9
2025-06,Nevada,49
2025-06,New Hampshire,7
2025-06,New Jersey,205
2025-06,New Mexico,15
2025-06,New York,786
2025-06,North Carolina,404
2025-06,North Dakota,4
2025-06,Ohio,130
2025-06,Oklahoma,72
2025-06,Oregon,327
2025-06,Pennsylvania,169
2025-06,Rhode Island,16
2025-06,South Carolina,112
2025-06,South Dakota,7
2025-06,Tennessee,78
2025-06,Texas,539
2025-06,Utah,44
2025-06,Vermont,16
2025-06,Virginia,752
2025-06,Washington,258
2025-06,West Virginia,11
2025-06,Wisconsin,50
2025-06,Wyoming,3
2025-07,Unknown,237
2025-07,Alabama,104
2025-07,Arizona,70
2025-07,Arkansas,15
2025-07,California,800
2025-07,Colorado,117
2025-07,Connecticut,28
2025-07,Delaware,13
2025-07,District of Columbia,62
2025-07,Florida,185
2025-07,Georgia,162
2025-07,Hawaii,8
2025-07,Idaho,6
2025-07,Illinois,205
2025-07,Indiana,33
2025-07,Iowa,1987
2025-07,Kansas,15
2025-07,Kentucky,16
2025-07,Louisiana,29
2025-07,Maine,21
2025-07,Maryland,70
2025-07,Massachusetts,96
2025-07,Michigan,72
2025-07,Minnesota,71
2025-07,Mississippi,6
2025-07,Missouri,41
2025-07,Montana,2
2025-07,Nebraska,9
2025-07,Nevada,41
2025-07,New Hampshire,3
2025-07,New Jersey,137
2025-07,New Mexico,21
2025-07,New York,547
2025-07,North Carolina,581
2025-07,North Dakota,1
2025-07,Ohio,127
2025-07,Oklahoma,107
2025-07,Oregon,498
2025-07,Pennsylvania,141
2025-07,Rhode Island,7
2025-07,South Carolina,95
2025-07,South Dakota,2
2025-07,Tennessee,64
2025-07,Texas,482
2025-07,Utah,38
2025-07,Vermont,3
2025-07,Virginia,718
2025-07,Washington,161
2025-07,West Virginia,8
2025-07,Wisconsin,30
2025-07,Wyoming,1
2025-08,Unknown,279
2025-08,Alabama,94
2025-08,Alaska,1
2025-08,Arizona,89
2025-08,Arkansas,4
2025-08,California,832
2025-08,Colorado,39
2025-08,Connecticut,22
2025-08,Delaware,4
2025-08,District of Columbia,36
2025-08,Florida,203
2025-08,Georgia,231
2025-08,Hawaii,12
2025-08,Idaho,5
2025-08,Illinois,194
2025-08,Indiana,46
2025-08,Iowa,2125
2025-08,Kansas,17
2025-08,Kentucky,11
2025-08,Louisiana,34
2025-08,Maine,5
2025-08,Maryland,48
2025-08,Massachusetts,98
2025-08,Michigan,83
2025-08,Minnesota,54
2025-08,Mississippi,2
2025-08,Missouri,60
2025-08,Montana,4
2025-08,Nebraska,16
2025-08,Nevada,33
2025-08,New Hampshire,10
2025-08,New Jersey,126
2025-08,New Mexico,10
2025-08,New York,769
2025-08,North Carolina,465
2025-08,Ohio,82
2025-08,Oklahoma,107
2025-08,Oregon,434
2025-08,Pennsylvania,77
2025-08,Rhode Island,7
2025-08,South Carolina,88
2025-08,South Dakota,4
2025-08,Tennessee,39
2025-08,Texas,423
2025-08,Utah,32
2025-08,Vermont,19
2025-08,Virginia,990
2025-08,Washington,207
2025-08,Wisconsin,38
2025-08,Wyoming,3
2025-09,Unknown,424
2025-09,Alabama,40
2025-09,Alaska,1
2025-09,Arizona,55
2025-09,Arkansas,2
2025-09,California,645
2025-09,Colorado,37
2025-09,Connecticut,21
2025-09,Delaware,1
2025-09,District of Columbia,34
2025-09,Florida,194
2025-09,Georgia,197
2025-09,Hawaii,8
2025-09,Idaho,5
2025-09,Illinois,161
2025-09,Indiana,11
2025-09,Iowa,2735
2025-09,Kansas,21
2025-09,Kentucky,7
2025-09,Louisiana,14
2025-09,Maine,17
2025-09,Maryland,24
2025-09,Massachusetts,88
2025-09,Michigan,40
2025-09,Minnesota,44
2025-09,Mississippi,4
2025-09,Missouri,43
2025-09,Montana,5
2025-09,Nebraska,11
2025-09,Nevada,23
2025-09,New Hampshire,10
2025-09,New Jersey,117
2025-09,New Mexico,6
2025-09,New York,729
2025-09,North Carolina,537
2025-09,North Dakota,2
2025-09,Ohio,79
2025-09,Oklahoma,42
2025-09,Oregon,576
2025-09,Pennsylvania,92
2025-09,Rhode Island,9
2025-09,South Carolina,47
2025-09,South Dakota,4
2025-09,Tennessee,21
2025-09,Texas,495
2025-09,Utah,38
2025-09,Vermont,4
2025-09,Virginia,727
2025-09,Washington,188
2025-09,West Virginia,1
2025-09,Wisconsin,32
2025-09,Wyoming,1
2025-10,Unknown,411
2025-10,Alabama,83
2025-10,Alaska,5
2025-10,Arizona,168
2025-10,Arkansas,33
2025-10,California,1631
2025-10,Colorado,340
2025-10,Connecticut,109
2025-10,Delaware,24
2025-10,District of Columbia,135
2025-10,Florida,370
2025-10,Georgia,289
2025-10,Hawaii,16
2025-10,Idaho,31
2025-10,Illinois,578
2025-10,Indiana,134
2025-10,Iowa,3632
2025-10,Kansas,57
2025-10,Kentucky,49
2025-10,Louisiana,71
2025-10,Maine,51
2025-10,Maryland,208
2025-10,Massachusetts,356
2025-10,Michigan,239
2025-10,Minnesota,202
2025-10,Mississippi,15
2025-10,Missouri,134
2025-10,Montana,14
2025-10,Nebraska,47
2025-10,Nevada,79
2025-10,New Hampshire,33
2025-10,New Jersey,326
2025-10,New Mexico,35
2025-10,New York,1193
2025-10,North Carolina,945
2025-10,North Dakota,4
2025-10,Ohio,266
2025-10,Oklahoma,90
2025-10,Oregon,952
2025-10,Pennsylvania,336
2025-10,Rhode Island,39
2025-10,South Carolina,127
2025-10,South Dakota,17
2025-10,Tennessee,134
2025-10,Texas,1049
2025-10,Utah,83
2025-10,Vermont,13
2025-10,Virginia,1121
2025-10,Washington,554
2025-10,West Virginia,12
2025-10,Wisconsin,129
2025-10,Wyoming,7
2025-11,Unknown,358
2025-11,Alabama,78
2025-11,Alaska,11
2025-11,Arizona,208
2025-11,Arkansas,35
2025-11,California,2095
2025-11,Colorado,275
2025-11,Connecticut,80
2025-11,Delaware,15
2025-11,District of Columbia,63
2025-11,Florida,402
2025-11,Georgia,297
2025-11,Hawaii,39
2025-11,Idaho,34
2025-11,Illinois,434
2025-11,Indiana,100
2025-11,Iowa,3494
2025-11,Kansas,39
2025-11,Kentucky,39
2025-11,Louisiana,64
2025-11,Maine,33
2025-11,Maryland,162
2025-11,Massachusetts,298
2025-11,Michigan,189
2025-11,Minnesota,147
2025-11,Mississippi,12
2025-11,Missouri,114
2025-11,Montana,7
2025-11,Nebraska,115
2025-11,Nevada,71
2025-11,New Hampshire,18
2025-11,New Jersey,542
2025-11,New Mexico,23
2025-11,New York,1237
2025-11,North Carolina,608
2025-11,North Dakota,6
2025-11,Ohio,210
2025-11,Oklahoma,82
2025-11,Oregon,1011
2025-11,Pennsylvania,286
2025-11,Rhode Island,44
2025-11,South Carolina,91
2025-11,South Dakota,7
2025-11,Tennessee,271
2025-11,Texas,910
2025-11,Utah,77
2025-11,Vermont,24
2025-11,Virginia,721
2025-11,Washington,411
2025-11,West Virginia,2
2025-11,Wisconsin,77
2025-11,Wyoming,3
2025-12,Unknown,349
2025-12,Alabama,104
2025-12,Alaska,9
2025-12,Arizona,230
2025-12,Arkansas,30
2025-12,California,2059
2025-12,Colorado,328
2025-12,Connecticut,92
2025-12,Delaware,24
2025-12,District of Columbia,100
2025-12,Florida,517
2025-12,Georgia,318
2025-12,Hawaii,43
2025-12,Idaho,28
2025-12,Illinois,456
2025-12,Indiana,126
2025-12,Iowa,2909
2025-12,Kansas,36
2025-12,Kentucky,48
2025-12,Louisiana,57
2025-12,Maine,28
2025-12,Maryland,167
2025-12,Massachusetts,245
2025-12,Michigan,194
2025-12,Minnesota,159
2025-12,Mississippi,16
2025-12,Missouri,170
2025-12,Montana,14
2025-12,Nebraska,128
2025-12,Nevada,88
2025-12,New Hampshire,12
2025-12,New Jersey,242
2025-12,New Mexico,27
2025-12,New York,1311
2025-12,North Carolina,456
2025-12,North Dakota,2
2025-12,Ohio,203
2025-12,Oklahoma,57
2025-12,Oregon,1030
2025-12,Pennsylvania,331
2025-12,Rhode Island,51
2025-12,South Carolina,101
2025-12,South Dakota,3
2025-12,Tennessee,271
2025-12,Texas,988
2025-12,Utah,121
2025-12,Vermont,17
2025-12,Virginia,639
2025-12,Washington,386
2025-12,West Virginia,4
2025-12,Wisconsin,103
2025-12,Wyoming,3
2026-01,Unknown,298
2026-01,Alabama,54
2026-01,Alaska,5
2026-01,Arizona,150
2026-01,Arkansas,13
2026-01,California,1772
2026-01,Colorado,161
2026-01,Connecticut,49
2026-01,Delaware,7
2026-01,District of Columbia,75
2026-01,Florida,320
2026-01,Georgia,206
2026-01,Hawaii,17
2026-01,Idaho,19
2026-01,Illinois,278
2026-01,Indiana,60
2026-01,Iowa,1108
2026-01,Kansas,21
2026-01,Kentucky,39
2026-01,Louisiana,27
2026-01,Maine,20
2026-01,Maryland,81
2026-01,Massachusetts,205
2026-01,Michigan,117
2026-01,Minnesota,61
2026-01,Mississippi,11
2026-01,Missouri,65
2026-01,Montana,7
2026-01,Nebraska,51
2026-01,Nevada,59
2026-01,New Hampshire,17
2026-01,New Jersey,6302
2026-01,New Mexico,14
2026-01,New York,1072
2026-01,North Carolina,190
2026-01,North Dakota,2
2026-01,Ohio,133
2026-01,Oklahoma,36
2026-01,Oregon,546
2026-01,Pennsylvania,136
2026-01,Rhode Island,31
2026-01,South Carolina,49
2026-01,South Dakota,6
2026-01,Tennessee,126
2026-01,Texas,572
2026-01,Utah,89
2026-01,Vermont,12
2026-01,Virginia,572
2026-01,Washington,273
2026-01,West Virginia,2
2026-01,Wisconsin,55
2026-02,Unknown,286
2026-02,Alabama,56
2026-02,Alaska,11
2026-02,Arizona,121
2026-02,Arkansas,15
2026-02,California,1538
2026-02,Colorado,211
2026-02,Connecticut,57
2026-02,Delaware,17
2026-02,District of Columbia,67
2026-02,Florida,316
2026-02,Georgia,184
2026-02,Hawaii,30
2026-02,Idaho,5
2026-02,Illinois,274
2026-02,Indiana,62
2026-02,Iowa,2517
2026-02,Kansas,31
2026-02,Kentucky,17
2026-02,Louisiana,33
2026-02,Maine,26
2026-02,Maryland,98
2026-02,Massachusetts,152
2026-02,Michigan,110
2026-02,Minnesota,86
2026-02,Mississippi,14
2026-02,Missouri,92
2026-02,Montana,6
2026-02,Nebraska,58
2026-02,Nevada,68
2026-02,New Hampshire,18
2026-02,New Jersey,7572
2026-02,New Mexico,24
2026-02,New York,1167
2026-02,North Carolina,222
2026-02,North Dakota,4
2026-02,Ohio,115
2026-02,Oklahoma,23
2026-02,Oregon,661
2026-02,Pennsylvania,199
2026-02,Rhode Island,30
2026-02,South Carolina,63
2026-02,South Dakota,6
2026-02,Tennessee,133
2026-02,Texas,609
2026-02,Utah,108
2026-02,Vermont,7
2026-02,Virginia,1269
2026-02,Washington,237
2026-02,West Virginia,6
2026-02,Wisconsin,43
2026-02,Wyoming,2
2026-03,Unknown,862
2026-03,Alabama,58
2026-03,Alaska,6
2026-03,Arizona,156
2026-03,Arkansas,22
2026-03,California,1619
2026-03,Colorado,171
2026-03,Connecticut,60
2026-03,Delaware,10
2026-03,District of Columbia,66
2026-03,Florida,422
2026-03,Georgia,205
2026-03,Hawaii,29
2026-03,Idaho,11
2026-03,Illinois,343
2026-03,Indiana,89
2026-03,Iowa,2347
2026-03,Kansas,33
2026-03,Kentucky,31
2026-03,Louisiana,48
2026-03,Maine,13
2026-03,Maryland,116
2026-03,Massachusetts,126
2026-03,Michigan,166
2026-03,Minnesota,101
2026-03,Mississippi,9
2026-03,Missouri,77
2026-03,Montana,5
2026-03,Nebraska,138
2026-03,Nevada,77
2026-03,New Hampshire,6
2026-03,New Jersey,10499
2026-03,New Mexico,17
2026-03,New York,1261
2026-03,North Carolina,246
2026-03,North Dakota,4
2026-03,Ohio,185
2026-03,Oklahoma,59
2026-03,Oregon,637
2026-03,Pennsylvania,185
2026-03,Rhode Island,38
2026-03,South Carolina,130
2026-03,South Dakota,6
2026-03,Tennessee,154
2026-03,Texas,650
2026-03,Utah,105
2026-03,Vermont,14
2026-03,Virginia,790
2026-03,Washington,258
2026-03,West Virginia,7
2026-03,Wisconsin,82
2026-03,Wyoming,3
2026-04,Unknown,6536
2026-04,Alabama,39
2026-04,Alaska,2
2026-04,Arizona,101
2026-04,Arkansas,13
2026-04,California,1703
2026-04,Colorado,86
2026-04,Connecticut,47
2026-04,Delaware,9
2026-04,District of Columbia,52
2026-04,Florida,303
2026-04,Georgia,155
2026-04,Hawaii,9
2026-04,Idaho,17
2026-04,Illinois,282
2026-04,Indiana,48
2026-04,Iowa,739
2026-04,Kansas,21
2026-04,Kentucky,17
2026-04,Louisiana,34
2026-04,Maine,19
2026-04,Maryland,84
2026-04,Massachusetts,160
2026-04,Michigan,95
2026-04,Minnesota,81
2026-04,Mississippi,4
2026-04,Missouri,119
2026-04,Montana,5
2026-04,Nebraska,57
2026-04,Nevada,45
2026-04,New Hampshire,6
2026-04,New Jersey,9093
2026-04,New Mexico,10
2026-04,New York,1368
2026-04,North Carolina,169
2026-04,North Dakota,3
2026-04,Ohio,106
2026-04,Oklahoma,26
2026-04,Oregon,406
2026-04,Pennsylvania,146
2026-04,Rhode Island,19
2026-04,South Carolina,233
2026-04,South Dakota,2
2026-04,Tennessee,98
2026-04,Texas,526
2026-04,Utah,78
2026-04,Vermont,3
2026-04,Virginia,541
2026-04,Washington,287
2026-04,West Virginia,4
2026-04,Wisconsin,51
2026-04,Wyoming,4
2026-05,Unknown,1220
2026-05,Alabama,52
2026-05,Alaska,7
2026-05,Arizona,120
2026-05,Arkansas,21
2026-05,California,1837
2026-05,Colorado,128
2026-05,Connecticut,60
2026-05,Delaware,18
2026-05,District of Columbia,77
2026-05,Florida,272
2026-05,Georgia,828
2026-05,Hawaii,25
2026-05,Idaho,14
2026-05,Illinois,290
2026-05,Indiana,79
2026-05,Iowa,813
2026-05,Kansas,22
2026-05,Kentucky,27
2026-05,Louisiana,40
2026-05,Maine,16
2026-05,Maryland,115
2026-05,Massachusetts,183
2026-05,Michigan,80
2026-05,Minnesota,93
2026-05,Mississippi,8
2026-05,Missouri,141
2026-05,Montana,4
2026-05,Nebraska,93
2026-05,Nevada,36
2026-05,New Hampshire,11
2026-05,New Jersey,11483
2026-05,New Mexico,23
2026-05,New York,1110
2026-05,North Carolina,350
2026-05,North Dakota,4
2026-05,Ohio,134
2026-05,Oklahoma,29
2026-05,Oregon,793
2026-05,Pennsylvania,162
2026-05,Rhode Island,17
2026-05,South Carolina,2198
2026-05,South Dakota,12
2026-05,Tennessee,362
2026-05,Texas,569
2026-05,Utah,99
2026-05,Vermont,9
2026-05,Virginia,716
2026-05,Washington,303
2026-05,West Virginia,8
2026-05,Wisconsin,36
2026-05,Wyoming,1
